City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,tofol,5.3248,163.0078,29.21,71,20,5.78,FM,1728244446
140,mawu,34.4307,104.9176,6.91,77,94,0.48,CN,1728244447
141,luanda,-8.8368,13.2343,25.0,83,0,4.12,AO,1728244448
142,nuuk,64.1835,-51.7216,4.34,75,75,1.54,GL,1728244449
143,orumiyeh,37.5527,45.0761,8.75,66,0,3.09,IR,1728244450
144,childress,34.4264,-100.204,31.14,25,0,2.57,US,1728244452
145,kodiak,57.79,-152.4072,7.73,93,100,10.8,US,1728244241
146,laminusa,5.5549,120.9136,28.3,72,100,0.32,PH,1728244454
147,pisco,-13.7,-76.2167,19.03,77,40,5.14,PE,1728244455
148,kharp,66.8014,65.8081,-2.82,92,99,3.34,RU,1728244456
149,bamboo flat,11.7,92.7167,26.05,94,20,1.03,IN,1728244458
150,sidi akkacha,36.4647,1.3026,28.16,57,100,1.31,DZ,1728244459
151,ponta delgada,37.7333,-25.6667,21.4,64,75,5.66,PT,1728244460
152,port moresby,-9.4431,147.1797,24.12,94,100,0.46,PG,1728244232
153,manay,7.215,126.5397,24.1,85,17,1.99,PH,1728244462
154,kholmsk,47.0511,142.0569,11.33,92,100,4.16,RU,1728244463
155,murray bridge,-35.1167,139.2667,11.38,93,89,3.08,AU,1728244464
156,mumford,5.2618,-0.759,24.95,91,20,3.21,GH,1728244466
157,vilyuchinsk,52.9306,158.4028,3.15,71,98,0.58,RU,1728244467
158,zaysan,47.4667,84.8667,13.97,23,100,2.26,KZ,1728244468
159,hilo,19.7297,-155.09,28.38,74,40,2.06,US,1728244469
160,noosa heads,-26.3833,153.15,19.75,84,5,3.93,AU,1728244470
161,krupki,54.3178,29.1358,9.12,96,100,3.09,BY,1728244471
162,waingapu,-9.6567,120.2641,25.49,82,13,3.89,ID,1728244472
163,terme,41.2092,36.9739,19.75,65,3,3.83,TR,1728244474
164,ust'-ilimsk,58.0006,102.6619,0.11,92,83,1.02,RU,1728244475
165,san patricio,28.017,-97.5169,33.97,47,75,4.94,US,1728244476
166,takoradi,4.8845,-1.7554,24.71,91,14,2.79,GH,1728244477
167,kapa'a,22.0752,-159.319,28.18,71,0,5.66,US,1728244478
168,mount isa,-20.7333,139.5,25.87,41,80,2.06,AU,1728244479
169,qarauyl,48.9451,79.255,13.59,64,14,8.0,KZ,1728244481
170,valdivia,-39.8142,-73.2459,20.05,55,0,1.64,CL,1728244325
171,punta arenas,-53.15,-70.9167,11.06,54,75,12.86,CL,1728244205
172,guatrache,-37.6678,-63.5302,23.15,32,100,5.91,AR,1728244484
173,ancud,-41.8697,-73.8203,12.39,70,0,1.28,CL,1728244485
174,staraya kulatka,52.7167,47.6167,12.4,89,100,1.74,RU,1728244486
175,mallow,52.1333,-8.6333,12.19,97,100,6.63,IE,1728244488
176,kidal,18.4411,1.4078,27.36,50,97,8.83,ML,1728244489
177,mendi,-6.1761,143.6513,11.16,96,95,1.83,PG,1728244490
178,iskateley,67.6803,53.1512,0.37,77,96,4.98,RU,1728244491
179,tsarevo,42.1667,27.85,18.51,81,0,3.12,BG,1728244492
180,mahina,-17.5065,-149.489,26.87,65,0,2.57,PF,1728244493
181,lae,-6.7221,146.9847,22.61,85,98,2.69,PG,1728244494
182,colonia,50.9333,6.95,13.4,77,0,3.6,DE,1728244496
183,as sulayyil,20.4607,45.5779,29.9,21,6,4.35,SA,1728244497
184,sisimiut,66.9395,-53.6735,2.49,97,100,2.85,GL,1728244498
185,ouadda,8.0777,22.4007,20.36,96,74,2.25,CF,1728244510
186,lazaro cardenas,17.9583,-102.2,28.72,74,94,5.1,MX,1728244511
187,pullman,46.7313,-117.1796,20.87,30,0,2.24,US,1728244430
188,hithadhoo,-0.6,73.0833,26.81,80,100,8.25,MV,1728244513
189,nafplio,37.5683,22.8053,21.15,59,0,2.6,GR,1728244515
190,curup,-3.4667,102.5333,20.51,98,95,1.13,ID,1728244516
191,jakobstad,63.6749,22.7026,6.13,77,100,6.08,FI,1728244517
192,piney green,34.716,-77.3202,27.79,52,0,3.6,US,1728244518
193,zabol,32.25,67.25,18.57,22,33,3.43,AF,1728244519
194,horta,38.5333,-28.6333,21.8,72,40,4.63,PT,1728244520
195,kostroma,57.7708,40.9344,6.84,79,100,3.05,RU,1728244521
196,belinskiy,52.9647,43.4165,12.42,61,100,3.98,RU,1728244523
197,ipameri,-17.7219,-48.1597,36.9,14,4,2.27,BR,1728244524
198,coquimbo,-29.9533,-71.3436,16.1,70,75,3.09,CL,1728244397
199,dalhart,36.0595,-102.5133,24.71,23,0,9.77,US,1728244527
200,holualoa,19.6228,-155.9522,26.42,72,40,1.54,US,1728244528
201,jianguang,28.1938,115.7836,18.73,90,81,2.08,CN,1728244529
202,virginia,37.5481,-77.4467,26.81,58,20,3.6,US,1728244531
203,bundi,25.4417,75.6417,26.54,41,4,0.67,IN,1728244532
204,champerico,14.3,-91.9167,28.59,78,100,4.38,GT,1728244533
205,dadukou,26.5479,101.7054,19.0,93,100,1.68,CN,1728244534
206,mercedes,-34.6515,-59.4307,22.75,44,100,6.82,AR,1728244535
207,hashtrud,37.4779,47.0508,12.16,35,0,1.24,IR,1728244536
208,jacupiranga,-24.6925,-48.0022,23.36,62,11,2.54,BR,1728244537
209,rawlins,41.7911,-107.2387,21.31,16,0,7.2,US,1728244539
210,mata-utu,-13.2816,-176.1745,27.22,81,22,8.89,WF,1728244540
211,farafangana,-22.8167,47.8333,19.27,72,0,2.29,MG,1728244541
212,dunedin,-45.8742,170.5036,13.22,91,100,0.82,NZ,1728244543
213,deder,9.3167,41.45,14.29,91,100,0.73,ET,1728244544
214,east london,-33.0153,27.9116,20.41,87,33,6.45,ZA,1728244545
215,igarka,67.4667,86.5833,-1.98,70,100,9.55,RU,1728244547
216,passy,45.9203,6.6877,13.98,84,44,2.4,FR,1728244548
217,hovd,48.0056,91.6419,5.35,40,73,0.65,MN,1728244550
218,sirte,31.2089,16.5887,25.01,59,0,5.32,LY,1728244551
219,prince rupert,54.3161,-130.3201,11.83,87,100,15.95,CA,1728244552
220,taoudenni,22.6783,-3.9836,36.21,13,0,2.87,ML,1728244553
221,ellsworth,44.5434,-68.4195,16.05,81,100,2.57,US,1728244422
222,thanesar,29.9833,76.8167,24.71,55,0,1.68,IN,1728244556
223,karratha,-20.7377,116.8463,24.94,52,22,4.77,AU,1728244557
224,kumba,4.6363,9.4469,21.96,98,60,1.59,CM,1728244558
225,tsarychanka,48.937,34.4786,19.77,42,100,3.78,UA,1728244559
226,arraial do cabo,-22.9661,-42.0278,22.98,53,0,6.17,BR,1728244561
227,yuzhno-kurilsk,44.0306,145.8556,14.68,86,100,4.83,RU,1728244562
228,freetown,8.484,-13.2299,25.84,89,75,5.66,SL,1728244563
229,severo-yeniseyskiy,60.3725,93.0408,0.48,96,100,1.94,RU,1728244564
230,okha,53.5739,142.9478,4.5,74,12,5.85,RU,1728244565
231,porciuncula,-20.9628,-42.0408,26.96,43,0,4.5,BR,1728244566
232,senador jose porfirio,-2.5908,-51.9542,31.01,52,35,0.69,BR,1728244567
233,praia da vitoria,38.7333,-27.0667,21.14,73,40,6.44,PT,1728244568
234,alto araguaia,-17.3147,-53.2153,38.77,9,0,2.22,BR,1728244570
235,debark',13.1561,37.8981,11.71,67,10,1.82,ET,1728244571
236,angaur state,6.906,134.13,28.7,75,35,2.54,PW,1728244572
237,moroto,2.5345,34.6666,23.64,50,84,0.68,UG,1728244573
238,vadso,70.0744,29.7487,2.09,75,40,4.63,NO,1728244574
239,northam,51.0333,-4.2167,12.01,96,3,5.0,GB,1728244575
240,guanica,17.9716,-66.908,30.07,84,70,2.51,PR,1728244576
241,longquan,24.6719,102.1613,17.05,93,80,1.5,CN,1728244578
242,feytiat,45.8091,1.3303,17.45,100,75,5.14,FR,1728244579
243,havre,49.5833,0.3333,16.87,88,100,7.72,FR,1728244580
244,khamis mushait,18.3064,42.7292,23.34,17,19,5.14,SA,1728244581
245,bussoleno,45.1403,7.1464,14.67,84,11,1.21,IT,1728244582
246,cadale,2.7603,46.3222,25.64,86,64,6.78,SO,1728244583
247,usevia,-7.1,31.2333,24.93,42,45,1.59,TZ,1728244584
248,kokshetau,53.2775,69.3883,8.75,73,78,4.13,KZ,1728244586
249,ilhabela,-23.7781,-45.3581,20.79,75,35,5.02,BR,1728244417
250,ola,59.5833,151.2833,3.68,83,99,4.35,RU,1728244588
251,papao,-17.75,-149.55,26.82,68,55,9.3,PF,1728244589
252,araguaina,-7.1911,-48.2072,34.66,35,27,1.79,BR,1728244590
253,mantua,45.1667,10.7833,14.43,90,76,0.45,IT,1728244591
254,zeya,53.75,127.2667,0.96,74,97,1.46,RU,1728244592
255,malango,-2.9627,119.9001,16.33,80,50,1.37,ID,1728244593
256,opuwo,-18.0607,13.84,24.32,37,16,2.79,NA,1728244596
257,egilsstadir,65.2653,-14.3948,1.95,87,40,7.2,IS,1728244597
258,el abiodh sidi cheikh,32.893,0.5484,25.86,35,100,1.35,DZ,1728244599
259,tual,-5.6667,132.75,27.68,76,98,8.07,ID,1728244601
260,hajnowka,52.7433,23.5812,9.45,92,100,0.89,PL,1728244602
261,ayorou,14.7308,0.9174,30.26,48,82,3.86,NE,1728244603
262,yass,-34.8333,148.9167,8.04,89,0,2.81,AU,1728244604
263,khash,28.2211,61.2158,21.39,34,2,1.95,IR,1728244605
264,hasaki,35.7333,140.8333,22.09,88,100,1.44,JP,1728244606
265,vernon,50.2581,-119.2691,14.74,62,90,1.54,CA,1728244607
266,sveti nikole,41.8696,21.9527,11.47,81,3,1.99,MK,1728244609
267,patnanungan,14.7833,122.1833,26.42,86,100,5.09,PH,1728244610
268,avarua,-21.2078,-159.775,24.03,57,75,6.17,CK,1728244611
269,ojuelos de jalisco,21.8667,-101.5833,22.24,48,73,3.24,MX,1728244612
270,danilovgrad,42.5538,19.1461,14.87,90,80,1.53,ME,1728244613
271,mossel bay,-34.1831,22.146,18.96,94,100,4.95,ZA,1728244614
272,cole harbour,44.6724,-63.4751,17.68,79,88,4.63,CA,1728244615
273,howrah,22.5892,88.3103,27.0,94,40,0.0,IN,1728244617
274,castillos,-34.1667,-53.8333,16.34,76,58,4.38,UY,1728244618
275,yarmouth,41.7057,-70.2286,16.67,77,0,5.14,US,1728244619
276,ilomantsi,62.6716,30.9328,8.94,90,100,4.78,FI,1728244620
277,az zawr,29.4425,48.2747,30.01,46,0,1.86,KW,1728244621
278,posto fiscal rolim de moura,-13.0833,-62.2667,33.6,38,60,4.29,BR,1728244622
279,vila franca do campo,37.7167,-25.4333,21.23,99,100,5.15,PT,1728244623
280,hermanus,-34.4187,19.2345,19.33,90,88,5.37,ZA,1728244625
281,kristinestad,62.2743,21.376,7.97,86,100,2.48,FI,1728244626
282,broken hill,-31.95,141.4333,16.22,45,100,1.99,AU,1728244627
283,siuna,13.7332,-84.7773,29.1,79,74,1.19,NI,1728244628
284,vovchans'k,50.3003,36.9467,17.86,34,100,3.42,UA,1728244629
285,taroa,8.7058,171.2275,28.71,76,13,5.55,MH,1728244630
286,newman,37.3138,-121.0208,37.69,11,4,3.21,US,1728244631
287,chinchilla,-26.75,150.6333,19.36,42,0,1.68,AU,1728244633
288,chonchi,-42.6128,-73.8092,14.7,50,1,1.03,CL,1728244634
289,puerto san jose,13.9256,-90.8244,31.03,77,20,4.12,GT,1728244635
290,kusheriki,10.5328,6.4422,22.87,92,97,1.49,NG,1728244636
291,aykhal,66.0,111.5,-5.88,94,99,10.22,RU,1728244638
292,dakhla,23.6848,-15.958,20.01,94,86,5.66,EH,1728244640
293,rongelap,11.1635,166.8941,28.2,74,54,3.0,MH,1728244641
294,palmares do sul,-30.2578,-50.5097,20.69,66,16,4.9,BR,1728244642
295,nikolayevsk-on-amure,53.1406,140.73,1.09,87,7,1.66,RU,1728244643
296,vinukonda,16.05,79.75,24.89,90,89,1.89,IN,1728244644
297,tweed heads,-28.1817,153.547,15.02,100,0,2.06,AU,1728244645
298,robore,-18.3333,-59.75,36.16,25,97,2.13,BO,1728244647
299,inari,68.906,27.0288,-1.74,96,86,2.19,FI,1728244648
300,preobrazheniye,42.9019,133.9064,12.85,81,73,2.46,RU,1728244649
301,la plata,-34.9215,-57.9545,18.99,63,100,6.25,AR,1728244619
302,jilib,0.4883,42.7854,24.68,84,61,5.19,SO,1728244651
303,kiunga,-6.1219,141.2906,23.06,99,100,1.21,PG,1728244652
304,thompson,55.7435,-97.8558,6.09,65,75,3.09,CA,1728244653
305,souillac,-20.5167,57.5167,22.21,60,20,3.6,MU,1728244655
306,minas de marcona,-15.2119,-75.1103,19.2,60,27,3.85,PE,1728244656
307,nyurba,63.2842,118.3319,-2.66,94,100,5.61,RU,1728244657
308,wuhu,31.3366,118.3755,16.91,95,100,3.42,CN,1728244658
309,'ain el melh,34.8415,4.1638,22.74,43,100,2.28,DZ,1728244659
310,port alfred,-33.5906,26.891,19.54,90,100,0.89,ZA,1728244660
311,angra do heroismo,38.65,-27.2167,21.34,73,40,6.9,PT,1728244661
